#pixelIndex	x	y	bupId	age	sex	instigator
127	27	1	5254	27	1	2
128	28	1	2752	27	1	2
129	29	1	4798	27	1	2
130	30	1	817	27	1	2
131	31	1	221	26	1	2
132	32	1	222	26	1	2
133	33	1	189	26	1	2
134	34	1	5895	26	1	2
135	35	1	2635	26	1	2
136	36	1	5049	26	1	2
137	37	1	3223	26	1	2
138	38	1	213	26	1	2
139	39	1	214	26	1	2
140	40	1	198	26	1	2
141	41	1	19653	26	1	2
142	42	1	3117	29	1	1
143	43	1	3596	28	1	1
144	44	1	1632	28	1	1
145	45	1	5635	28	1	1
146	46	1	5551	28	1	1
147	47	1	2896	28	1	1
148	48	1	2322	27	1	1
149	49	1	4795	27	1	1
150	50	1	18142	27	1	1
151	51	1	2563	27	1	1
152	52	1	7194	27	1	1
153	53	1	17596	27	1	1
154	54	1	7735	26	1	1
155	55	1	3099	26	1	1
156	56	1	18688	29	1	0
157	57	1	3953	29	1	0
158	58	1	3854	29	1	0
159	59	1	2297	28	1	0
160	60	1	2467	28	1	0
161	61	1	6777	28	1	0
162	62	1	9785	27	1	0
163	63	1	10584	27	1	0
164	64	1	179	27	1	0
165	65	1	3214	27	1	0
166	66	1	3215	27	1	0
167	67	1	4811	27	1	0
168	68	1	8368	27	1	0
169	69	1	19545	26	1	0
170	70	1	2357	26	1	0
171	71	1	4259	26	1	0
172	72	1	8075	26	1	0
173	73	1	4669	26	1	0
174	74	1	10120	26	1	0
175	75	1	4645	29	0	2
176	76	1	5334	28	0	2
177	77	1	251	28	0	2
178	78	1	252	28	0	2
179	79	1	5507	27	0	2
180	80	1	4570	27	0	2
181	81	1	5907	26	0	2
182	82	1	188	26	0	2
183	83	1	5008	29	0	1
184	84	1	854	29	0	1
185	85	1	873	29	0	1
186	86	1	4591	28	0	1
187	87	1	4503	27	0	1
188	88	1	4027	27	0	1
189	89	1	2359	27	0	1
190	90	1	4337	28	0	0
191	91	1	4279	28	0	0
192	92	1	5767	27	0	0
193	93	1	3355	27	0	0
194	94	1	2848	27	0	0
195	95	1	4735	26	0	0
196	96	1	4154	26	0	0
197	97	1	3126	26	0	0
198	98	1	2346	26	0	0
199	99	1	5217	26	0	0
200	0	2	2530	26	2	2
201	1	2	804	26	2	2
202	2	2	3892	26	2	2
203	3	2	5464	26	2	2
204	4	2	19766	26	2	2
205	5	2	19500	26	2	2
206	6	2	2959	26	2	2
207	7	2	2002	25	2	2
208	8	2	19448	25	2	2
209	9	2	285	25	2	2
210	10	2	2834	25	2	2
211	11	2	3348	25	2	2
212	12	2	17793	25	2	2
213	13	2	2760	25	2	2
214	14	2	3526	26	2	1
215	15	2	3388	26	2	1
216	16	2	3036	26	2	1
217	17	2	5596	26	2	1
218	18	2	7992	25	2	1
219	19	2	2882	25	2	1
220	20	2	5115	25	2	1
221	21	2	15571	25	2	1
222	22	2	3146	26	2	0
223	23	2	12701	26	2	0
224	24	2	4460	26	2	0
225	25	2	9082	26	2	0
226	26	2	19752	25	2	0
227	27	2	3127	25	2	0
228	28	2	11772	25	2	0
229	29	2	3741	25	2	0
230	30	2	13456	25	2	0
231	31	2	11762	25	2	0
232	32	2	8980	25	1	3
233	33	2	412	26	1	2
234	34	2	5793	26	1	2
235	35	2	4501	25	1	2
236	36	2	4076	25	1	2
237	37	2	5515	25	1	2
238	38	2	10244	25	1	2
239	39	2	10245	25	1	2
240	40	2	3098	25	1	2
241	41	2	1757	25	1	2
242	42	2	5320	25	1	2
243	43	2	616	25	1	2
244	44	2	3161	25	1	2
245	45	2	1792	25	1	2
246	46	2	1793	25	1	2
247	47	2	11525	25	1	2
248	48	2	2916	25	1	2
249	49	2	3089	25	1	2
250	50	2	11956	25	1	2
251	51	2	2342	25	1	2
252	52	2	13416	25	1	2
253	53	2	19521	25	1	2
254	54	2	181	25	1	2
255	55	2	16113	26	1	1
256	56	2	5397	26	1	1
257	57	2	4485	26	1	1
258	58	2	15876	26	1	1
259	59	2	15877	26	1	1
260	60	2	2787	25	1	1
261	61	2	4583	25	1	1
262	62	2	8917	25	1	1
263	63	2	4668	26	1	0
264	64	2	5712	26	1	0
265	65	2	2556	26	1	0
266	66	2	3853	26	1	0
267	67	2	4036	26	1	0
268	68	2	11086	26	1	0
269	69	2	14048	25	1	0
